"ID tanggapan","Tanggal pengiriman","Halaman terakhir","Bahasa utama","Biji","Tanggal mulai","Tanggal tindakan terakhir","Jenis Kelamin ","Usia","Asal Institusi","Status","Jabatan Akademik","Masa Kerja","Strata","Menurut Anda, hal apa yang pertama kali terlintas di pikiran Anda tatkala mendengar istilah Artificial Intelligent (AI)? ","Sejauh mana Anda memahami kondisi yang menuntut Anda menggunakan AI? ","Sejauh mana Anda memahami penggunaan AI secara bijak dan bertanggung jawab? ","Apakah Anda mengetahui bahwa Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi Tahun 2024 telah menerbitkan dokumen Panduan Penggunaan Generative AI (GenAI) pada Pembelajaran di Perguruan Tinggi? ","Seberapa sering Anda menggunakan aplikasi AI untuk pekerjaan terkait dengan status Anda sebagai Dosen/Tenaga Kependidikan/Mahasiswa? ","Menurut Anda, seberapa besar ketergantungan Anda pada penggunaan AI untuk pekerjaan terkait status Anda? ","Penggunaan AI membantu Anda meningkatkan pemahaman tentang suatu materi/pekerjaan ","Apakah perguruan tinggi Anda memiliki dokumen panduan resmi mengenai penggunaan AI? ","Apakah dokumen panduan AI tersebut secara resmi diterbitkan oleh perguruan tinggi? ","Apakah dokumen panduan penggunaan AI di perguruan tinggi Anda diterbitkan berdasarkan surat keputusan atau surat edaran dari pimpinan (Rektor/Ketua)? ","Kapan dokumen tersebut diterbitkan? ","Apakah dokumen panduan penggunaan AI mencakup aspek etika, seperti anti-plagiarisme, bias algoritmik, atau penyalahgunaan data? ","Apakah ada aturan spesifik mengenai penggunaan AI untuk tugas mata kuliah, skripsi, tesis, disertasi, atau publikasi ilmiah? ","Apakah dokumen panduan penggunaan AI mencantumkan sanksi atau konsekuensi bagi pelanggaran yang dilakukan oleh mahasiswa atau dosen? ","Apakah di perguruan tinggi Anda ada panduan untuk pemanfaatan AI dalam proses administratif dan operasional universitas? ","Apakah panduan tersebut telah disosialisasikan kepada seluruh sivitas akademika (dosen, mahasiswa, staf)? ","Seberapa mudah dokumen tersebut diakses? (Misalnya, tersedia di situs web resmi, hanya di intranet, atau hanya tersedia secara secara printed) ","Apakah perguruan tinggi Anda menyelenggarakan pelatihan atau lokakarya bagi dosen dan mahasiswa tentang penggunaan AI secara bijak dan bertanggung jawab? ","Saya memahami isi dokumen panduan (penggunaan AI yang diterbitkan oleh kampus Saya, atau Panduan Penggunaan AI pada Pembelajaran di Perguruan Tinggi yang diterbitkan oleh Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi Tahun 2024.) ","Menurut Anda, apakah panduan penggunaan AI akan bermanfaat dalam memandu Anda menggunakan AI secara etis dan produktif? ","Panduan tersebut justru terlalu membatasi kreativitas dan inovasi dalam pekerjaan administratif/pembelajaran/penelitian)? ","Menurut Anda, apakah penggunaan AI di lingkungan PTKIN dalam konteks akademik dan administrasi perlu diatur secara formal?","Tuliskan saran/harapan Anda terhadap regulasi penggunaan AI di PTKIN?"
"13","2025-09-17 01:35:58","7","id","989018470","2025-09-17 01:32:06","2025-09-17 01:35:58","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Paham","Sangat Paham","Tidak","Sangat Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Perlu","semoga. AI kedepannya dapat lebih membantu para mahasiswa, dosen, staff dalam menjalankan kewajibannya."
"14","2025-09-17 01:37:36","7","id","486606553","2025-09-17 01:32:07","2025-09-17 01:37:36","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Paham","Sangat Paham","Tidak","Sering","Sangat Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Tidak Perlu","Memanfaatkan AI sebaik mungkin"
"15","2025-09-17 01:37:17","7","id","951345827","2025-09-17 01:32:09","2025-09-17 01:37:17","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Paham","Paham","Tidak","Sangat Sering","Sangat Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Tidak Perlu","Dengan adanya AI dapat mencapai tujuan yang di inginkan dengan penggunaan yang baik dan bijak"
"16","2025-09-17 01:39:38","7","id","983947461","2025-09-17 01:32:09","2025-09-17 01:39:38","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Tidak","Pernah","Tidak Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Ya",,,,"Tidak Perlu","Tidak ada"
"17","2025-09-17 01:37:12","7","id","549341610","2025-09-17 01:32:09","2025-09-17 01:37:12","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Tidak","Sering","Tidak Bergantung","Setuju","Tidak",,,,,"Ya","Tidak",,,,"Tidak",,,,"Perlu","Gunakan AI dengan bijak, buat alat ini menjadi alat bantu kebutuhan bukan sebagai alat utama kebutuhan, Semakin berkembang teknologi kita sebagai mahasiswa harus lebih bijak lagi dalam menggunakannya."
"18","2025-09-17 01:35:30","7","id","1400891774","2025-09-17 01:32:11","2025-09-17 01:35:30","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Tidak","Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Ya",,,,"Perlu","Bisa digunakan dengan bijak "
"19","2025-09-17 01:35:27","7","id","1086844198","2025-09-17 01:32:12","2025-09-17 01:35:27","Laki-laki","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Mengkhawatirkan","Paham","Paham","Ya","Sangat Sering","Sangat Bergantung","Sangat Setuju","Tidak",,,,,"Ya","Ya",,,,"Ya","Tidak Setuju","Setuju","Setuju","Perlu","Saya harap PTKIN bisa ngasih tahu dan memberikan edukasi yang penuh kepada mahasiswa nya tentang AI karena menurut saya ini sangat penting dan wajib di ketahui oleh semua mahasiswa."
"20","2025-09-17 01:39:16","7","id","803541276","2025-09-17 01:32:13","2025-09-17 01:39:16","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Paham","Tidak","Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Tidak Perlu","Saran saya sebenernya tidak perlu adanya aturan secara formal tentang penggunaan AI di PTKIN karena mahasiswa dapat menempatkannya dengan benar dan asal mahasiswa mengerti tentang apa yang mereka buat pada AI karena AI membantu pekerjaan mahasiswa "
"21","2025-09-17 01:35:50","7","id","25126371","2025-09-17 01:32:13","2025-09-17 01:35:50","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Paham","Tidak","Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Tidak Perlu","semoga dengan adanya regulasi penggunaan AI, mahasiswa tidak seenaknya langsung copy paste apa yang sudah diberi, tetapi juga harus memahami terlebih dahulu informasi yang diberikan oleh AI dan memastikan bahwa informasi yang diberikan itu benar"
"22","2025-09-17 01:35:16","7","id","1287627751","2025-09-17 01:32:14","2025-09-17 01:35:16","Perempuan","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Paham","Tidak Paham","Tidak","Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Ya","Ya",,,,"Tidak",,,,"Sangat Perlu","Saran saya, regulasi penggunaan AI di PTKIN sebaiknya menekankan etika, transparansi, dan pengawasan agar AI dimanfaatkan untuk mendukung pembelajaran, penelitian, dan administrasi, tanpa mengurangi nilai akademik, keaslian karya, serta tetap menjaga integritas ilmiah"
"23","2025-09-17 01:38:57","7","id","1006728440","2025-09-17 01:32:14","2025-09-17 01:38:57","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Sangat Paham","Sangat Paham","Ya","Sangat Sering","Sangat Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak","Tidak Setuju","Setuju","Tidak Setuju","Perlu","Adanya kebijakan yang mengatur penggunaan ai secara bijak dan efektif "
"24","2025-09-17 01:37:47","7","id","1855360489","2025-09-17 01:32:16","2025-09-17 01:37:47","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Ya","Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Ya","Setuju","Setuju","Tidak Setuju","Perlu","semoga orang-orang bisa menggunakan AI dengan bijak tidak berlebihan, dengan catatan memahami aturan-aturan yang ditetapkan"
"25","2025-09-17 01:36:02","7","id","1223462910","2025-09-17 01:32:19","2025-09-17 01:36:02","Laki-laki","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Sangat Paham","Paham","Ya","Sering","Tidak Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak","Setuju","Sangat Setuju","Tidak Setuju","Perlu","semoga mahasiswa lebih cerdas lagi dalam penggunaan AI, dan tidak terlalu bergantung kepada AI untuk hal hal yang dapat dikerjakan oleh mereka"
"26","2025-09-17 01:37:51","7","id","515828516","2025-09-17 01:32:21","2025-09-17 01:37:51","Laki-laki","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Paham","Paham","Tidak","Sering","Tidak Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Sangat Tidak Perlu","buatlah aturan sebijak bijaknya"
"27","2025-09-17 01:39:30","7","id","316428179","2025-09-17 01:32:21","2025-09-17 01:39:30","Laki-laki","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Paham","Paham","Ya","Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Ya","Ya",,,,"Ya","Setuju","Setuju","Setuju","Sangat Perlu","Harapan saya penggunaan AI harus di batasi dan di pandu agar tidak tergantungan pada AI"
"28","2025-09-17 01:36:29","7","id","1678472198","2025-09-17 01:32:22","2025-09-17 01:36:29","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Tidak","Sangat Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Tidak Perlu","Saya berharap PTKIN memiliki regulasi penggunaan Artificial Intelligence (AI) yang jelas, etis, dan mendukung inovasi. Regulasi tersebut diharapkan mampu melindungi keaslian karya ilmiah, menjaga privasi data, serta mencegah penyalahgunaan AI untuk kecurangan akademik. Selain itu, perlu ada pelatihan literasi AI bagi dosen dan mahasiswa agar penggunaannya dapat dilakukan secara bertanggung jawab, transparan, dan sejalan dengan nilai-nilai akademik serta keagamaan."
"29","2025-09-17 01:37:15","7","id","1252337117","2025-09-17 01:32:22","2025-09-17 01:37:15","Perempuan","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Tidak Paham","Paham","Ya","Sering","Bergantung","Setuju","Tidak",,,,,"Ya","Tidak",,,,"Ya","Setuju","Setuju","Tidak Setuju","Tidak Perlu","dapat digunakan sebaik baiknya dan bermanfaat tanpa harus terus menerus ketergantungan "
"30","2025-09-17 01:37:32","7","id","1901367664","2025-09-17 01:32:26","2025-09-17 01:37:32","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Tidak","Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Tidak Perlu","Harapan saya untuk regulasi penggunaan AI agar ringan dan tidak memberatkan"
"32","2025-09-17 01:35:45","7","id","1870661376","2025-09-17 01:32:46","2025-09-17 01:35:45","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Sangat Paham","Paham","Tidak","Sangat Sering","Sangat Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Ya",,,,"Sangat Perlu","Saya sangat berharap agar ptkin bisa segera membuat aturan dan regulasi untuk penggunaan AI, agar setiap mahasiswa dan dosen memiliki aturan, etika, moral dan batasan dalam penggunaan AI. Selain itu juga saya berharap diadakan seminar ataupun bootcamp untuk pelatihan Tata Cara Menggunakan AI yang bijak dan efektif"
"33","2025-09-17 01:37:46","7","id","895811466","2025-09-17 01:32:46","2025-09-17 01:37:46","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Sangat Paham","Sangat Paham","Tidak","Sangat Sering","Sangat Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Sangat Perlu","saya harap penggunaan AI tidak disalahgunakan, dan harus seimbang antara etika dan inovasi "
"34","2025-09-17 01:39:59","7","id","357413132","2025-09-17 01:32:47","2025-09-17 01:39:59","Laki-laki","< 20","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Tidak","Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Sangat Perlu","Harapannya regulasi di PTKIN tetap mendukung penggunaan AI, tapi sesuai dengannilai keislaman. Jadi AI bisa jadi alat bantu yang membuat mahasiswa lebih produktif dan semangat belajar. 

"
"35","2025-09-17 01:36:46","7","id","958011677","2025-09-17 01:32:51","2025-09-17 01:36:46","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Sangat Paham","Tidak Paham","Tidak","Sangat Sering","Sangat Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Perlu","I hope all institution have police on this AI use."
"36","2025-09-17 01:37:08","7","id","2070914315","2025-09-17 01:33:06","2025-09-17 01:37:08","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Paham","Tidak","Sering","Tidak Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Sangat Perlu","Di perketat dalam aturan penggunaan AI"
"37","2025-09-17 01:37:26","7","id","376899757","2025-09-17 01:33:07","2025-09-17 01:37:26","Laki-laki","46 - 60","Universitas Islam Negeri Sunan Gunung Djati","Dosen dengan Tugas Tambahan (DT)","Lektor Kepala (LK)","> 10 tahun",,"Sangat Menjanjikan","Paham","Paham","Ya","Sering","Tidak Bergantung","Setuju","Tidak",,,,,"Tidak",,"Tidak",,,"Tidak","Tidak Setuju","Sangat Setuju","Tidak Setuju","Sangat Perlu","Segera diterbitkan karena penggunaannya sudah massif "
"38","2025-09-17 01:37:50","7","id","1243581522","2025-09-17 01:33:09","2025-09-17 01:37:50","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Tidak Paham","Paham","Ya","Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Ya","Tidak Setuju","Sangat Setuju","Tidak Setuju","Tidak Perlu","Buat panduan yang mencegah kecurangan tapi tidak membatasi kreativitas"
"39","2025-09-17 01:37:49","7","id","551002235","2025-09-17 01:33:13","2025-09-17 01:37:49","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Paham","Paham","Tidak","Sering","Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Perlu","semoga dengan adanya AI bisa meningkatkan efisiensi belajar"
"40","2025-09-17 01:37:46","7","id","1270297353","2025-09-17 01:33:23","2025-09-17 01:37:46","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Paham","Sangat Paham","Tidak","Sangat Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Tidak Perlu","Harapan saya dengan pesat nya perkembangan teknologi AI PTKIN di Indonesia dapat mengikuti perkembangan nya."
"46","2025-09-17 05:18:31","7","id","1830713030","2025-09-17 05:14:02","2025-09-17 05:18:31","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Sangat Paham","Sangat Paham","Ya","Sangat Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Ya","Ya",,,,"Ya","Setuju","Sangat Setuju","Tidak Setuju","Sangat Perlu","Buat edukasi penggunaaan ai yg benar"
"47","2025-09-17 05:32:50","7","id","473510583","2025-09-17 05:15:03","2025-09-17 05:32:50","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Sangat Paham","Paham","Tidak","Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Perlu","Tidak ada"
"48","2025-09-17 06:18:06","7","id","379390753","2025-09-17 05:39:20","2025-09-17 06:18:06","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Sangat Paham","Tidak","Sangat Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Perlu","Yaitu ada keleluasaan dalam penggunaan AI selama mahasiswa bisa memahami konteks isi dari apa yang dibuat, singkatnya ada kebebasan berarti ada juga tanggung jawabnya"
"49","2025-09-17 05:46:35","7","id","1001705787","2025-09-17 05:42:25","2025-09-17 05:46:35","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Sangat Paham","Sangat Paham","Tidak","Sering","Tidak Bergantung","Setuju","Tidak",,,,,"Tidak",,,,,"Tidak",,,,"Perlu","harapan saya AI di ptkin bisa lebih membantu pekerjaan civitas akademika di ptkin khusus nya di uin sgd ini dan dapat digunakan sebagai mestinya"
"50","2025-09-17 05:49:07","7","id","930894824","2025-09-17 05:42:38","2025-09-17 05:49:07","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Cukup Menjanjikan","Paham","Paham","Tidak","Sering","Bergantung","Sangat Setuju","Tidak",,,,,"Tidak",,,,,"Ya",,,,"Tidak Perlu","-"
"51","2025-09-17 05:57:59","7","id","426119533","2025-09-17 05:43:41","2025-09-17 05:57:59","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sangat Menjanjikan","Sangat Paham","Paham","Ya","Sering","Bergantung","Setuju","Ya","Tidak","Tidak",,,"Ya","Tidak",,,,"Ya","Setuju","Setuju","Tidak Setuju","Perlu","Gunakan AI untuk hal positif saja"
"52","2025-09-17 05:49:39","7","id","2094087286","2025-09-17 05:47:12","2025-09-17 05:49:39","Laki-laki","20 - 29","Universitas Islam Negeri Sunan Gunung Djati","Mahasiswa",,,"S1","Sedikit Mengkhawatirkan","Paham","Sangat Paham","Ya","Sering","Bergantung","Setuju","Tidak",,,,,"Ya","Ya",,,,"Ya","Setuju","Setuju","Tidak Setuju","Sangat Perlu","sejauh ini tidak ada"
